cosa;20169;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;20420;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;20463;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Fromesta;20568;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;20715;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;20729;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;20739;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;20747;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuillia;20759;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;FOUND
Cordoua;20771;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;20782;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;20794;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Reyna;20814;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Roy Roy Lopez de Mendoça;20861;PPLN;PPT;;;not;;;;;VALIDATE
Segouia;21218;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Guadaxox;21525;PPLN;PPT; ; ;not;;; ; ;VALIDATE
cosa;22238;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;22490;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;22533;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Reyna;22676;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Algarue;22818;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Don ;22956;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Seuillia;23029;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;FOUND
Toledo;23074;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Sanctiago;23120;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Naçar;23166;PLN;FT;http://sws.geonames.org/6359730; ;not; ; ;null;Medieval;FOUND
Granada;23179;PLN;FT;http://sws.geonames.org/6357709;Granada;not;;;null;Medieval;FOUND
Murcia;23256;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Niebla;23314;PLN;FT;https://pleiades.stoa.org/places/256221;Niebla;not;;;null;Medieval;FOUND
Burgos;23378;PLN;FT;http://sws.geonames.org/6356377;Burgi,Burgos,Burgosas,Burgoso,Burgus,brghsh,brgws,bu er ge si,buleugoseu,bur kos,burugosu,bwrgws,Бургос,Бурґос,برغش,برگوس,بورگوس,บูร์โกส,ブルゴス,布尔戈斯,부르고스;not;;;null;Geonames;FOUND
Palentia;23419;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/236591;null;not;;;The chief town of the Vaccaei in the northern part of Hispania Tarraconensis.;Pleiades;VALIDATE
Segouia;23462;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;; ;Medieval;FOUND
Siguença;23501;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Osma;23540;PLN;FT;http://sws.geonames.org/3114836;Osma;not;;;null;Geonames;FOUND
Cuenca;23577;PLN;FT;http://sws.geonames.org/6357429; ;not;;;null;Geonames;FOUND
Auila;23617;PLN;FT;http://pleiades.stoa.org/places/236361;Ávila;not;;; ;Medieval;FOUND
Calaforra;23656;PPLN;GENT;http://sws.geonames.org/6359026; ;not;;;null;Geonames;VALIDATE
Cordoua;23696;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Plazentia;23735;PPLN;GENT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/383741;null;not;;;Placentia (modern Piacenza) was an ancient site with Gallic and Etruscan occupation before the Roman conquest of 218 B.C. The city persisted into Late Antiquity.;Pleiades;VALIDATE
Jaen;23779;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Cartagena;23819;PLN;FT;http://sws.geonames.org/6359521; ;not;;;null;Geonames;FOUND
Calatraua;23873;PLN;FT; ; ;not;;; ;Medieval;FOUND
La;24492;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;24506;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Ouiedo;24539;PPLN;PPT; ; ;not;;; ; ;VALIDATE
C'amora;24577;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Salamanca;24616;PLN;FT;http://pleiades.stoa.org/places/236642;Salamanca;not;;; ;Medieval;FOUND
Cibdat;24697;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Lugo;24737;PLN;FT;http://sws.geonames.org/6359189;Gorad Luga,Lougo,Lucus Augusti,Lugas,Lugo,Lugu,lu gao,lu ge,lu ko,lugo,luko,lwghw,lwgw,rugo,Λούγο,Горад Луга,Луго,Լուգո,לוגו,لوغو,لوگو,लूगो,லுகோ,ลูโก,ლუგო,ሉጎ,ルーゴ,卢戈,盧高,루고;not;;;null;Geonames;FOUND
Orens;24774;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080;null;not;;;An ancient place, cited: BAtlas 101 M6 Oriens;Medieval;FOUND
Tuy;24810;PLN;FT;http://sws.geonames.org/6360252;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊;not;;;null;Medieval;FOUND
Mendonnedo;24846;PPLN;PPT; ; ;not;;; ; ;VALIDATE
La;24868;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Coria;24882;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Sanctiago;24936;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Leon;25392;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Castiella;25447;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Murcia;25508;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Gallizia;25554;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Olea;25588;PLN;FT;http://sws.geonames.org/3115185;Olea;not;;;null;Geonames;FOUND
Fromesta;25743;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;25891;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;25905;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;25915;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;25923;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;25935;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;25946;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;25957;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;25969;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
